agent1_strategy,agent1_reward,agent2_strategy,agent2_reward,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,agent2_final_strategy,agent2_defection_ratio,agent1_updating_times,agent2_updating_times,thresh
8006.0,6006.0,8006.0,7006.0,1.63,1.0,0.0,-0.93,1.0,0.9133149981498718,1.0,0.9068198800086976,560.0,560.0,2
7006.0,12006.0,7006.0,12006.0,2.52,1.0,0.0,-0.65,1.0,0.9474429488182068,1.0,0.948775589466095,880.0,880.0,2
7006.0,9006.0,8006.0,9006.0,1.09,1.0,0.0,-0.89,1.0,0.9165000915527344,1.0,0.9261603355407716,740.0,740.0,2
7006.0,6006.0,6006.0,6006.0,1.26,1.0,0.0,-0.15,0.0,0.217527836561203,0.0,0.2101056277751922,580.0,580.0,2
7006.0,9006.0,10006.0,11006.0,1.01,1.0,0.0,-0.38,1.0,0.9265854954719543,1.0,0.892240583896637,700.0,700.0,2
6006.0,8006.0,6006.0,8006.0,2.52,1.0,0.0,-0.67,1.0,0.9424181580543518,1.0,0.9456657767295836,680.0,680.0,2
11006.0,10006.0,7006.0,10006.0,2.67,1.0,0.0,-0.94,1.0,0.9471197724342346,1.0,0.944939136505127,840.0,840.0,2
6006.0,7006.0,6006.0,7006.0,1.29,1.0,0.0,-0.69,1.0,0.925064206123352,1.0,0.9307736158370972,500.0,500.0,2
7006.0,8006.0,7006.0,7006.0,2.04,1.0,0.0,-0.68,1.0,0.9129403233528136,1.0,0.9118161201477052,480.0,480.0,2
8006.0,7006.0,7006.0,7006.0,2.0,1.0,0.0,-0.28,1.0,0.8166375160217285,1.0,0.7002248167991638,620.0,620.0,2
