agent1_strategy,agent1_reward,agent2_strategy,agent2_reward,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,agent2_final_strategy,agent2_defection_ratio,agent1_updating_times,agent2_updating_times,model
3000.0,3000.0,3000.0,2000.0,1.84,1.0,0.0,-0.44,1.0,0.9559999704360962,1.0,0.9606666564941406,2936.0,2936.0,normal
,,,,1.29,1.0,0.0,-0.24,1.0,0.675433337688446,1.0,0.6489666700363159,,,normal
3000.0,3000.0,3000.0,3000.0,1.4,1.0,0.0,-0.51,1.0,0.9546666741371155,1.0,0.9506666660308838,2936.0,2936.0,normal
4000.0,7000.0,4000.0,7000.0,2.02,1.0,0.0,-0.48,1.0,0.977142870426178,1.0,0.9751428365707397,6936.0,6936.0,normal
4000.0,6000.0,4000.0,6000.0,2.39,1.0,0.0,-0.58,1.0,0.9753333330154419,1.0,0.9763333201408386,5936.0,5936.0,normal
6000.0,15000.0,11000.0,14000.0,2.72,1.0,0.0,-0.97,1.0,0.9881333112716675,1.0,0.9865333437919617,14936.0,13936.0,normal
3000.0,8000.0,3000.0,6000.0,2.42,1.0,0.0,-0.89,1.0,0.9816250205039978,1.0,0.981374979019165,7936.0,5936.0,normal
3000.0,4000.0,3000.0,4000.0,1.01,1.0,0.0,-0.63,1.0,0.9714999794960022,1.0,0.9580000042915344,1000.0,1000.0,alternative
21000.0,,,24000.0,1.6,1.0,0.0,-0.06,1.0,0.9491666555404663,1.0,0.9241666793823242,5250.0,6000.0,alternative
3000.0,6000.0,5000.0,7000.0,1.27,1.0,0.0,-0.28,1.0,0.9844285845756531,1.0,0.9735714197158813,1500.0,1750.0,alternative
3000.0,3000.0,3000.0,1000.0,1.62,1.0,0.0,-0.41,1.0,0.9729999899864197,1.0,0.9573333263397217,750.0,750.0,alternative
3000.0,3000.0,3000.0,5000.0,2.65,1.0,0.0,-0.85,1.0,0.9801999926567078,1.0,0.9783999919891357,750.0,1250.0,alternative
