strategy_convergent_episode,network_convergent_episode,temptation,reward,punishment,sucker,final_strategy,defection_ratio,R+S-T-P,model
15898.0,16324.0,1.29,1.0,0.0,-0.24,1.0,0.8401739597320557,-0.53,DQN
15898.0,17781.0,1.4,1.0,0.0,-0.51,1.0,0.8918508291244507,-0.9099999999999999,DQN
15898.0,23720.0,2.02,1.0,0.0,-0.48,1.0,0.9180017113685608,-1.5,DQN
15898.0,20992.0,2.39,1.0,0.0,-0.58,1.0,0.9078696370124817,-1.9700000000000002,DQN
15898.0,20992.0,2.72,1.0,0.0,-0.97,1.0,0.9078696370124817,-2.6900000000000004,DQN
15898.0,34626.0,2.42,1.0,0.0,-0.89,1.0,0.9423843622207642,-2.31,DQN
15898.0,16324.0,1.01,1.0,0.0,-0.63,1.0,0.8632075190544128,,DDQN
40578.0,55000.0,1.6,1.0,0.0,-0.06,1.0,0.928542971611023,,DDQN
15898.0,18906.0,1.27,1.0,0.0,-0.28,1.0,0.8613138794898987,,DDQN
15898.0,16682.0,1.62,1.0,0.0,-0.41,1.0,0.8851456642150879,,DDQN
15898.0,20992.0,2.65,1.0,0.0,-0.85,1.0,0.9078696370124817,,DDQN
15898.0,30523.0,1.32,1.0,0.0,-0.85,1.0,0.9333289861679077,,DDQN
15898.0,30523.0,1.68,1.0,0.0,-0.94,1.0,0.9352946877479553,,DDQN
15898.0,30523.0,1.81,1.0,0.0,-0.14,1.0,0.92487633228302,,DDQN
15898.0,27755.0,1.17,1.0,0.0,-0.4,1.0,0.9097099900245667,,DDQN
15898.0,20992.0,1.01,1.0,0.0,-0.3,1.0,0.8751429319381714,,DDQN
15898.0,19648.0,1.44,1.0,0.0,-0.98,1.0,0.9018220901489258,,DDQN
15898.0,16324.0,1.01,1.0,0.0,-0.04,1.0,0.7684391140937805,,DDQN
15898.0,34626.0,2.07,1.0,0.0,-0.18,1.0,0.9022988677024841,,DDQN
15898.0,34626.0,2.4,1.0,0.0,-0.79,1.0,0.9423843622207642,,DDQN
15898.0,34626.0,2.08,1.0,0.0,-0.82,1.0,0.9423843622207642,,DDQN
15898.0,20992.0,2.55,1.0,0.0,-0.82,1.0,0.9078696370124817,,DDQN
15898.0,34626.0,2.32,1.0,0.0,-0.7,1.0,0.9423843622207642,,DDQN
15898.0,16324.0,1.12,1.0,0.0,-0.48,1.0,0.8668830990791321,,DDQN
15898.0,34626.0,2.37,1.0,0.0,-0.57,1.0,0.9423843622207642,,DDQN
40578.0,55000.0,1.83,1.0,0.0,-0.71,1.0,0.9586689472198486,,DDQN
15898.0,34626.0,2.08,1.0,0.0,-0.39,1.0,0.935395359992981,,DDQN
15898.0,20992.0,2.64,1.0,0.0,-0.86,1.0,0.9078696370124817,,DDQN
15898.0,30523.0,1.41,1.0,0.0,-0.71,1.0,0.9333289861679077,,DDQN
15898.0,16324.0,1.01,1.0,0.0,-0.64,1.0,0.8632075190544128,,DDQN
15898.0,30523.0,1.2,1.0,0.0,-0.55,1.0,0.9344100952148438,,DDQN
40578.0,55000.0,1.41,1.0,0.0,-0.22,1.0,0.9367174506187439,,DDQN
15898.0,34626.0,2.43,1.0,0.0,-0.8,1.0,0.9423843622207642,,DDQN
15898.0,38310.0,2.25,1.0,0.0,-0.49,1.0,0.9475333094596863,,DDQN
15898.0,20992.0,1.01,1.0,0.0,-0.41,1.0,0.8901486396789551,,DDQN
15898.0,21552.0,1.9,1.0,0.0,-0.95,1.0,0.9101707339286804,,DDQN
15898.0,32049.0,1.47,1.0,0.0,-0.4,1.0,0.9380635619163513,,DDQN
15898.0,30523.0,1.26,1.0,0.0,-0.83,1.0,0.9333289861679077,,DDQN
15898.0,16324.0,1.06,1.0,0.0,-0.94,1.0,0.8721514344215393,,DDQN
15898.0,16324.0,1.23,1.0,0.0,-0.06,1.0,0.7348076701164246,,DDQN
44491.0,48264.0,1.96,1.0,0.0,-0.04,0.0,0.10600033402442932,,DDQN
16404.0,18906.0,1.26,1.0,0.0,-0.2,1.0,0.8298952579498291,,DDQN
40578.0,55000.0,1.79,1.0,0.0,-0.7,1.0,0.9586689472198486,,DDQN
40578.0,43289.0,2.27,1.0,0.0,-0.9,1.0,0.9528055787086487,,DDQN
40578.0,55000.0,1.36,1.0,0.0,-0.32,1.0,0.5462756156921387,,DDQN
15898.0,20992.0,2.5,1.0,0.0,-0.56,1.0,0.9078696370124817,,DDQN
15898.0,20992.0,2.79,1.0,0.0,-0.88,1.0,0.9078696370124817,,DDQN
15898.0,30523.0,1.24,1.0,0.0,-0.51,1.0,0.9352946877479553,,DDQN
15898.0,21552.0,1.88,1.0,0.0,-0.97,1.0,0.9101707339286804,,DDQN
15898.0,16324.0,1.2,1.0,0.0,-0.1,1.0,0.7286816835403442,,DDQN
15898.0,30523.0,1.36,1.0,0.0,-0.74,1.0,0.9333289861679077,,DDQN
15898.0,20992.0,1.01,1.0,0.0,-0.34,1.0,0.8751429319381714,,DDQN
15898.0,23720.0,1.95,1.0,0.0,-0.69,1.0,0.9180017113685608,,DDQN
15898.0,24927.0,1.65,1.0,0.0,-0.49,1.0,0.9218116998672485,,DDQN
15898.0,20992.0,1.01,1.0,0.0,-0.46,1.0,0.8901962637901306,,DDQN
15898.0,17781.0,1.37,1.0,0.0,-0.82,1.0,0.8884764909744263,,DDQN
44491.0,55000.0,1.92,1.0,0.0,-0.04,0.0,0.10254007577896118,,DDQN
15898.0,16324.0,1.15,1.0,0.0,-0.23,1.0,0.7973535656929016,,DDQN
15898.0,16324.0,1.01,1.0,0.0,-0.07,1.0,0.8142611980438232,,DDQN
40578.0,47261.0,1.44,1.0,0.0,-0.11,1.0,0.9023296236991882,,DDQN
15898.0,34626.0,2.38,1.0,0.0,-0.41,1.0,0.9423843622207642,,DDQN
15898.0,16324.0,1.12,1.0,0.0,-0.09,1.0,0.7511639595031738,,DDQN
15898.0,34093.0,2.21,1.0,0.0,-0.91,1.0,0.9414836168289185,,DDQN
40578.0,45297.0,2.33,1.0,0.0,-0.81,1.0,0.9547210335731506,,DDQN
15898.0,18906.0,1.32,1.0,0.0,-0.96,1.0,0.898127555847168,,DDQN
