agent1_strategy,agent1_reward,agent2_strategy,agent2_reward,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,agent2_final_strategy,agent2_defection_ratio,agent1_updating_times,agent2_updating_times,model
3000.0,1000.0,3000.0,1000.0,0.67,1.0,0.0,-0.98,1.0,0.9589999914169312,1.0,0.9666666388511658,2936.0,2936.0,normal
3000.0,4000.0,3000.0,4000.0,0.76,1.0,0.0,-0.45999999999999996,1.0,0.9652500152587891,1.0,0.9649999737739563,3936.0,3936.0,normal
3000.0,1000.0,3000.0,3000.0,0.24,1.0,0.0,-1.58,1.0,0.9663333296775818,1.0,0.9613333344459534,2936.0,2936.0,normal
3000.0,2000.0,3000.0,2000.0,0.72,1.3,0.0,-0.28,0.0,0.03566666692495346,0.0,0.036666665226221085,2936.0,2936.0,normal
3000.0,7000.0,3000.0,7000.0,0.37,1.55,0.0,-0.63,0.0,0.02014285698533058,0.0,0.01842857152223587,6936.0,6936.0,normal
3000.0,2000.0,3000.0,4000.0,0.63,1.09,0.0,-0.3700000000000001,0.0,0.028999999165534973,0.0,0.03200000151991844,2936.0,3936.0,normal
3000.0,6000.0,3000.0,4000.0,0.63,3.31,0.0,-0.3700000000000001,0.0,0.024000000208616257,0.0,0.02199999988079071,5936.0,3936.0,normal
3000.0,2000.0,3000.0,2000.0,0.54,1.43,0.0,-0.45999999999999996,0.0,0.0430000014603138,0.0,0.03733333200216293,2936.0,2936.0,normal
5000.0,8000.0,3000.0,7000.0,0.1,1.12,0.0,-0.9000000000000001,0.0,0.0403750017285347,0.0,0.035999998450279236,7936.0,6936.0,normal
3000.0,2000.0,3000.0,4000.0,0.83,2.17,0.0,-0.16999999999999993,0.0,0.02525000087916851,0.0,0.03175000101327896,2936.0,3936.0,normal
7000.0,9000.0,3000.0,5000.0,0.32,1.0,0.0,-1.12,0.0,0.024000000208616257,0.0,0.02777777798473835,8936.0,4936.0,normal
3000.0,16000.0,11000.0,16000.0,0.19,3.21,0.0,-0.81,0.0,0.014875000342726707,0.0,0.014812500216066837,15936.0,15936.0,normal
3000.0,5000.0,3000.0,5000.0,0.05,1.0,0.0,-1.65,1.0,0.9710000157356262,1.0,0.9718000292778015,4936.0,4936.0,normal
4000.0,3000.0,3000.0,1000.0,0.59,3.95,0.0,-0.41000000000000014,1.0,0.9522500038146973,1.0,0.9545000195503235,3936.0,2936.0,normal
3000.0,3000.0,3000.0,4000.0,0.67,3.09,0.0,-0.33000000000000007,0.0,0.032999999821186066,0.0,0.026750000193715096,2936.0,3936.0,normal
3000.0,1000.0,4000.0,1000.0,0.03,1.0,0.0,-1.18,1.0,0.968999981880188,1.0,0.9597499966621399,2936.0,3936.0,normal
3000.0,3000.0,3000.0,3000.0,0.51,1.0,0.0,-1.47,1.0,0.9570000171661377,1.0,0.9566666483879089,2936.0,2936.0,normal
3000.0,4000.0,3000.0,4000.0,0.23,3.26,0.0,-0.77,0.0,0.04475000128149986,0.0,0.04924999922513962,3936.0,3936.0,normal
3000.0,14000.0,3000.0,14000.0,0.64,2.83,0.0,-0.3599999999999999,0.0,0.012785714119672775,0.0,0.014214285649359226,13936.0,13936.0,normal
3000.0,3000.0,3000.0,3000.0,0.18,2.92,0.0,-0.8199999999999998,0.0,0.054999999701976776,0.0,0.05666666850447655,2936.0,2936.0,normal
3000.0,9000.0,9000.0,9000.0,0.69,3.09,0.0,-0.31000000000000005,0.0,0.03244444355368614,0.0,0.03422222286462784,8936.0,8936.0,normal
3000.0,6000.0,3000.0,6000.0,0.39,1.0,0.0,-1.31,1.0,0.9768333435058594,1.0,0.9815000295639038,5936.0,5936.0,normal
3000.0,7000.0,3000.0,5000.0,0.93,1.43,0.0,-0.06999999999999984,0.0,0.021714285016059875,0.0,0.01957142911851406,6936.0,4936.0,normal
3000.0,7000.0,3000.0,9000.0,0.14,1.0,0.0,-1.4,1.0,0.9838888645172119,1.0,0.9845555424690247,6936.0,8936.0,normal
3000.0,9000.0,4000.0,8000.0,0.34,3.45,0.0,-0.6600000000000001,0.0,0.015666667371988297,0.0,0.01622222177684307,8936.0,7936.0,normal
6000.0,5000.0,3000.0,5000.0,0.12,2.49,0.0,-0.8800000000000003,0.0,0.01850000023841858,0.0,0.023499999195337296,5936.0,4936.0,normal
3000.0,2000.0,3000.0,3000.0,0.92,1.32,0.0,-0.08000000000000007,0.0,0.029999999329447746,0.0,0.04233333468437195,2936.0,2936.0,normal
3000.0,3000.0,3000.0,3000.0,0.87,1.0,0.0,-0.88,1.0,0.9649999737739563,1.0,0.9616666436195374,2936.0,2936.0,normal
4000.0,5000.0,4000.0,5000.0,0.26,1.24,0.0,-0.74,0.0,0.19259999692440033,0.0,0.18359999358654022,4936.0,4936.0,normal
3000.0,4000.0,3000.0,6000.0,0.66,1.3,0.0,-0.3400000000000001,0.0,0.02383333258330822,0.0,0.023333333432674408,3936.0,5936.0,normal
3000.0,3000.0,3000.0,3000.0,0.81,2.92,0.0,-0.18999999999999995,0.0,0.033666666597127914,0.0,0.039000000804662704,2936.0,2936.0,normal
3000.0,5000.0,3000.0,5000.0,0.55,2.55,0.0,-0.44999999999999973,0.0,0.02879999950528145,0.0,0.028999999165534973,4936.0,4936.0,normal
3000.0,10000.0,3000.0,10000.0,0.53,3.55,0.0,-0.46999999999999975,0.0,0.01590000092983246,0.0,0.0142000000923872,9936.0,9936.0,normal
3000.0,9000.0,5000.0,9000.0,0.25,1.8900000000000001,0.0,-0.75,0.0,0.02199999988079071,0.0,0.023333333432674408,8936.0,8936.0,normal
5000.0,7000.0,3000.0,1000.0,0.1,1.0,0.0,-1.42,1.0,0.977571427822113,1.0,0.9782857298851013,6936.0,2936.0,normal
3000.0,8000.0,3000.0,8000.0,0.89,2.85,0.0,-0.10999999999999988,0.0,0.01887499913573265,0.0,0.01862500049173832,7936.0,7936.0,normal
3000.0,3000.0,3000.0,3000.0,0.89,3.04,0.0,-0.10999999999999988,0.0,0.0430000014603138,0.0,0.04266666620969772,2936.0,2936.0,normal
3000.0,3000.0,3000.0,3000.0,0.63,2.25,0.0,-0.3700000000000001,0.0,0.0416666679084301,0.0,0.04766666516661644,2936.0,2936.0,normal
3000.0,3000.0,3000.0,2000.0,0.34,3.08,0.0,-0.6600000000000001,0.0,0.04066666588187218,0.0,0.03733333200216293,2936.0,2936.0,normal
3000.0,2000.0,3000.0,3000.0,0.35,1.98,0.0,-0.6499999999999999,0.0,0.04533333331346512,0.0,0.04399999976158142,2936.0,2936.0,normal
3000.0,7000.0,3000.0,6000.0,0.72,2.09,0.0,-0.2799999999999998,0.0,0.02199999988079071,0.0,0.01842857152223587,6936.0,5936.0,normal
3000.0,8000.0,8000.0,8000.0,0.89,1.71,0.0,-0.10999999999999988,0.0,0.017000000923871994,0.0,0.0215000007301569,7936.0,7936.0,normal
5000.0,5000.0,3000.0,6000.0,0.88,1.0,0.0,-1.02,0.0,0.06916666775941849,0.0,0.07016666978597641,4936.0,5936.0,normal
3000.0,1000.0,3000.0,1000.0,0.77,1.0,0.0,-0.7999999999999999,1.0,0.9593333601951599,1.0,0.9603333473205566,2936.0,2936.0,normal
3000.0,1000.0,3000.0,1000.0,0.04,1.5,0.0,-0.96,1.0,0.9760000109672546,1.0,0.9683333039283752,750.0,750.0,alternative
3000.0,4000.0,3000.0,3000.0,0.63,3.8,0.0,-0.3700000000000001,0.0,0.025750000029802322,0.0,0.04475000128149986,1000.0,750.0,alternative
3000.0,4000.0,3000.0,4000.0,0.32,2.9299999999999997,0.0,-0.6799999999999997,0.0,0.020999999716877937,0.0,0.027000000700354576,1000.0,1000.0,alternative
3000.0,5000.0,3000.0,5000.0,0.51,2.3899999999999997,0.0,-0.48999999999999977,0.0,0.015399999916553497,0.0,0.019200000911951065,1250.0,1250.0,alternative
3000.0,6000.0,3000.0,6000.0,0.9,1.0,0.0,-0.48,0.0,0.01549999974668026,0.0,0.014166667126119137,1500.0,1500.0,alternative
3000.0,10000.0,3000.0,10000.0,0.25,1.0,0.0,-1.13,0.0,0.012400000356137753,0.0,0.012299999594688416,2500.0,2500.0,alternative
3000.0,1000.0,3000.0,1000.0,0.41,1.0,0.0,-1.36,1.0,0.9679999947547913,1.0,0.971666693687439,750.0,750.0,alternative
3000.0,3000.0,3000.0,3000.0,0.75,3.46,0.0,-0.25,0.0,0.022333333268761635,0.0,0.05766666680574417,750.0,750.0,alternative
3000.0,5000.0,3000.0,5000.0,0.23,2.4,0.0,-0.77,0.0,0.01940000057220459,0.0,0.018200000748038292,1250.0,1250.0,alternative
3000.0,5000.0,3000.0,5000.0,0.09,2.83,0.0,-0.9099999999999999,0.0,0.014800000004470348,0.0,0.02019999921321869,1250.0,1250.0,alternative
3000.0,7000.0,3000.0,7000.0,0.29,1.0,0.0,-1.6300000000000001,0.0,0.017428571358323097,0.0,0.011857142671942711,1750.0,1750.0,alternative
8000.0,8000.0,3000.0,8000.0,0.17,3.88,0.0,-0.8300000000000001,0.0,0.013500000350177288,0.0,0.013624999672174454,2000.0,2000.0,alternative
3000.0,4000.0,3000.0,4000.0,0.92,3.33,0.0,-0.08000000000000007,0.0,0.02824999950826168,0.0,0.02449999935925007,1000.0,1000.0,alternative
3000.0,1000.0,3000.0,1000.0,0.8,1.0,0.0,-0.35,1.0,0.9616666436195374,1.0,0.9459999799728394,750.0,750.0,alternative
5000.0,1000.0,3000.0,1000.0,0.63,1.0,0.0,-0.64,1.0,0.9801999926567078,1.0,0.967199981212616,1250.0,750.0,alternative
3000.0,1000.0,4000.0,1000.0,0.86,1.0,0.0,-0.41000000000000003,1.0,0.9807500243186951,1.0,0.953249990940094,750.0,1000.0,alternative
3000.0,5000.0,3000.0,6000.0,0.8,1.22,0.0,-0.19999999999999996,0.0,0.035999998450279236,0.0,0.03033333271741867,1250.0,1500.0,alternative
3000.0,1000.0,3000.0,1000.0,0.19,2.1,0.0,-0.81,1.0,0.9273333549499512,1.0,0.9616666436195374,750.0,750.0,alternative
5000.0,1000.0,3000.0,1000.0,0.88,1.73,0.0,-0.1200000000000001,1.0,0.9667999744415283,1.0,0.9801999926567078,1250.0,750.0,alternative
3000.0,1000.0,3000.0,1000.0,0.54,1.16,0.0,-0.45999999999999985,1.0,0.968999981880188,1.0,0.9683333039283752,750.0,750.0,alternative
