strategy_convergent_episode,network_convergent_episode,temptation,reward,punishment,sucker,final_strategy,defection_ratio,game
15898.0,24927.0,1.67,1.0,0.0,-0.37,1.0,0.9218116998672485,PD
15898.0,30523.0,1.5,1.0,0.0,-0.12,1.0,0.9200602769851685,PD
15898.0,30523.0,1.22,1.0,0.0,-0.53,1.0,0.9352291822433472,PD
15898.0,16324.0,1.01,1.0,0.0,-0.88,1.0,0.8679245114326477,PD
15898.0,34626.0,2.13,1.0,0.0,-0.29,1.0,0.9177496433258057,PD
15898.0,34626.0,2.1,1.0,0.0,-0.25,1.0,0.9177496433258057,PD
40578.0,43289.0,1.84,1.0,0.0,-0.44,1.0,0.9528055787086487,PD
15898.0,16324.0,1.29,1.0,0.0,-0.24,1.0,0.8401739597320557,PD
15898.0,17781.0,1.4,1.0,0.0,-0.51,1.0,0.8918508291244507,PD
15898.0,23720.0,2.02,1.0,0.0,-0.48,1.0,0.9180017113685608,PD
15898.0,34626.0,2.39,1.0,0.0,-0.58,1.0,0.9423843622207642,PD
15898.0,20992.0,2.72,1.0,0.0,-0.97,1.0,0.9078696370124817,PD
15898.0,34626.0,2.42,1.0,0.0,-0.89,1.0,0.9423843622207642,PD
15898.0,16208.0,0.04,1.5,0.0,-0.96,1.0,0.8394619822502136,SH
44491.0,55000.0,0.63,3.8,0.0,-0.3700000000000001,0.0,0.15860515832901,SH
20404.0,21552.0,0.32,2.9299999999999997,0.0,-0.6799999999999997,0.0,0.4143930971622467,SH
17781.0,19040.0,0.51,2.3899999999999997,0.0,-0.48999999999999977,1.0,0.4728466272354126,SH
15898.0,20992.0,0.9,1.0,0.0,-0.48,1.0,0.8707602620124817,SH
15898.0,19478.0,0.25,1.0,0.0,-1.13,1.0,0.8667727708816528,SH
29285.0,29807.0,0.41,1.0,0.0,-1.36,1.0,0.910658597946167,SH
44491.0,55000.0,0.75,3.46,0.0,-0.25,0.0,0.1878339648246765,SH
16404.0,19253.0,0.23,2.4,0.0,-0.77,1.0,0.8263646960258484,SH
17781.0,18704.0,0.09,2.83,0.0,-0.9099999999999999,1.0,0.7229469418525696,SH
15898.0,16208.0,0.29,1.0,0.0,-1.6300000000000001,1.0,0.8531589508056641,SH
16404.0,17143.0,0.17,3.88,0.0,-0.8300000000000001,1.0,0.7381438612937927,SH
20404.0,21110.0,0.92,3.33,0.0,-0.08000000000000007,0.0,0.4772619605064392,SH
15898.0,20992.0,0.8,1.0,0.0,-0.35,1.0,0.8373189568519592,SH
15898.0,27098.0,0.63,1.0,0.0,-0.64,1.0,0.8979260325431824,SH
15898.0,27098.0,0.86,1.0,0.0,-0.41000000000000003,1.0,0.9018746614456177,SH
15898.0,16324.0,0.8,1.22,0.0,-0.19999999999999996,1.0,0.7733398675918579,SH
16404.0,16538.0,0.19,2.1,0.0,-0.81,1.0,0.6878098845481873,SH
15898.0,29067.0,0.88,1.73,0.0,-0.1200000000000001,1.0,0.8082017302513123,SH
15898.0,16324.0,0.54,1.16,0.0,-0.45999999999999985,1.0,0.7888385057449341,SH
20404.0,20992.0,0.8,2.45,0.0,-0.20000000000000018,0.0,0.44073933362960815,SH
15898.0,20992.0,0.89,1.0,0.0,-0.55,1.0,0.8801924586296082,SH
15898.0,16324.0,0.32,1.17,0.0,-0.6799999999999999,1.0,0.8051947951316833,SH
15898.0,16208.0,0.12,1.47,0.0,-0.88,1.0,0.8171890377998352,SH
15898.0,16404.0,0.23,1.8199999999999998,0.0,-0.7699999999999998,1.0,0.7895025610923767,SH
44491.0,55000.0,0.43,3.14,0.0,-0.5699999999999998,0.0,0.16534411907196045,SH
15898.0,20992.0,0.81,1.0,0.0,-0.3899999999999999,1.0,0.8373189568519592,SH
