strategy_convergent_episode,network_convergent_episode,temptation,reward,punishment,sucker,final_strategy,defection_ratio,R+S-T-P,game,h
18091.0,20404.0,0.81,1.0,0.0,-0.3899999999999999,0.0,0.6274259686470032,-0.1999999999999999,SH,2
47261.0,55000.0,0.85,2.06,0.0,-0.1499999999999999,0.0,0.0964989215135574,1.06,SH,2
55000.0,55000.0,0.02,2.37,0.0,-0.98,-1.0,0.5294082164764404,1.37,SH,2
15710.0,19253.0,0.51,1.0,0.0,-1.3,1.0,0.8962239623069763,-0.81,SH,2
16404.0,19478.0,0.42,2.43,0.0,-0.5799999999999998,1.0,0.8145599961280823,1.43,SH,2
15710.0,15898.0,0.23,1.0,0.0,-1.09,1.0,0.8648257851600647,-0.32,SH,2
15710.0,15898.0,0.13,1.0,0.0,-1.61,1.0,0.874449610710144,-0.7399999999999999,SH,2
16404.0,16905.0,0.34,3.8,0.0,-0.6600000000000001,1.0,0.8017154932022095,2.8,SH,2
26548.0,26964.0,0.93,3.86,0.0,-0.0699999999999998,0.0,0.146232008934021,2.86,SH,2
17781.0,19040.0,0.33,3.23,0.0,-0.6699999999999999,1.0,0.7691176533699036,2.23,SH,2
29532.0,40126.0,0.52,1.22,0.0,-0.48,0.0,0.5081742405891418,0.2199999999999999,SH,2
15710.0,15898.0,0.7,1.0,0.0,-0.91,1.0,0.8748270273208618,-0.61,SH,2
18091.0,19040.0,0.37,2.74,0.0,-0.6300000000000003,1.0,0.764915943145752,1.7399999999999998,SH,2
29532.0,40468.0,0.96,1.76,0.0,-0.04,0.0,0.1183898374438285,0.76,SH,2
21256.0,23555.0,0.95,1.0,0.0,-0.56,1.0,0.8655487298965454,-0.51,SH,2
55000.0,55000.0,0.26,1.98,0.0,-0.74,-1.0,0.3194433450698852,0.98,SH,2
34558.0,35413.0,0.5,1.0,0.0,-1.36,1.0,0.9283878803253174,-0.8599999999999999,SH,2
21256.0,21552.0,0.3,3.64,0.0,-0.7000000000000002,1.0,0.8604769706726074,2.64,SH,2
15710.0,15898.0,0.29,1.04,0.0,-0.7100000000000001,1.0,0.8523713946342468,0.0399999999999999,SH,2
47261.0,55000.0,0.05,2.65,0.0,-0.95,0.0,0.4116157591342926,1.65,SH,2
16682.0,19648.0,0.61,1.25,0.0,-0.39,0.0,0.6205720901489258,0.25,SH,2
16682.0,18906.0,0.5,2.08,0.0,-0.5,0.0,0.6149899363517761,1.08,SH,2
19848.0,20275.0,0.06,2.19,0.0,-0.94,1.0,0.8263871669769287,1.19,SH,2
15710.0,15898.0,0.28,1.0,0.0,-0.98,1.0,0.8649515509605408,-0.26,SH,2
26548.0,26964.0,0.9,3.88,0.0,-0.1,0.0,0.1510903388261795,2.88,SH,2
47261.0,47474.0,0.24,3.1,0.0,-0.7600000000000002,0.0,0.2594262063503265,2.1,SH,2
47261.0,55000.0,0.15,3.76,0.0,-0.8500000000000001,0.0,0.1909641921520233,2.76,SH,2
47261.0,55000.0,0.49,3.58,0.0,-0.5099999999999998,0.0,0.3900829553604126,2.58,SH,2
15710.0,19848.0,0.98,2.39,0.0,-0.0199999999999995,1.0,0.7787686586380005,1.39,SH,2
47261.0,55000.0,0.25,3.69,0.0,-0.75,0.0,0.2467900216579437,2.69,SH,2
15710.0,15898.0,0.67,1.0,0.0,-0.98,1.0,0.8748270273208618,-0.65,SH,2
17781.0,19848.0,0.76,1.0,0.0,-0.4599999999999999,0.0,0.6391072273254395,-0.2199999999999999,SH,2
15710.0,15898.0,0.24,1.0,0.0,-1.58,1.0,0.8736947774887085,-0.8200000000000001,SH,2
18091.0,21110.0,0.72,1.3,0.0,-0.28,0.0,0.5987683534622192,0.3,SH,2
55000.0,55000.0,0.37,1.55,0.0,-0.63,-1.0,0.3160339593887329,0.55,SH,2
38310.0,39830.0,0.63,1.09,0.0,-0.3700000000000001,1.0,0.3961084485054016,0.0899999999999999,SH,2
21256.0,27098.0,0.63,3.31,0.0,-0.3700000000000001,1.0,0.8076980113983154,2.31,SH,2
16682.0,19478.0,0.54,1.43,0.0,-0.4599999999999999,1.0,0.8705205917358398,0.4299999999999999,SH,2
17485.0,17642.0,0.1,1.12,0.0,-0.9000000000000001,1.0,0.8485432267189026,0.1199999999999999,SH,2
47261.0,55000.0,0.83,2.17,0.0,-0.1699999999999999,0.0,0.0958609133958816,1.17,SH,2
15710.0,15898.0,0.32,1.0,0.0,-1.12,1.0,0.8658950924873352,-0.4400000000000001,SH,2
17781.0,18579.0,0.19,3.21,0.0,-0.81,1.0,0.7605898976325989,2.21,SH,2
17485.0,18294.0,0.05,1.0,0.0,-1.65,1.0,0.8907838463783264,-0.7,SH,2
29532.0,46185.0,0.59,3.95,0.0,-0.4100000000000001,0.0,0.1385731250047683,2.95,SH,2
47261.0,55000.0,0.67,3.09,0.0,-0.33,0.0,0.1879535913467407,2.09,SH,2
15710.0,15898.0,0.03,1.0,0.0,-1.18,1.0,0.8661466836929321,-0.2099999999999999,SH,2
15710.0,19848.0,0.51,1.0,0.0,-1.47,1.0,0.900695264339447,-0.98,SH,2
29532.0,45792.0,0.23,3.26,0.0,-0.77,0.0,0.2539744973182678,2.26,SH,2
